NOC,Gold,Silver,Bronze,Total
Russia,11,9,9,29
Norway,11,6,9,26
Canada,10,10,5,25
United States,9,9,10,28
Netherlands,8,7,9,24
Germany,8,6,5,19
Switzerland,7,2,2,11
Belarus,5,0,1,6
Austria,4,8,5,17
France,4,4,7,15
Poland,4,1,1,6
China,3,4,2,9
South Korea,3,3,2,8
Sweden,2,7,6,15
Czech Republic,2,4,3,9
Slovenia,2,2,4,8
Japan,1,4,3,8
Finland,1,3,1,5
United Kingdom,1,1,3,5
Latvia,1,1,3,5
Ukraine,1,1,0,2
Slovakia,1,0,0,1
Italy,0,2,7,9
Australia,0,2,1,3
Croatia,0,1,0,1
Kazakhstan,0,0,1,1
